state,date,crop_type,planted_area,production,year,hist_mean_temp,yield
Sabah,2017-01-01,industrial_crops,18990.1,54902.3,2017,26.8,2.891101152705884
Sabah,2018-01-01,industrial_crops,19388.0,55713.9,2018,26.95,2.8736280173303075
Sabah,2019-01-01,industrial_crops,19501.6,60823.8,2019,27.2,3.118913319932724
Sabah,2020-01-01,industrial_crops,19287.6,61436.4,2020,27.05,3.1852796615442047
Sabah,2021-01-01,industrial_crops,20336.0,62926.4,2021,26.7,3.094335169158143
Sabah,2022-01-01,industrial_crops,20836.1,64810.3,2022,26.75,3.1104813280796315
Sabah,2017-01-01,paddy,42157.0,110936.0,2017,26.8,2.631496548615888
Sabah,2018-01-01,paddy,42442.0,122390.0,2018,26.95,2.8837001083832052
Sabah,2019-01-01,paddy,43546.0,112569.0,2019,27.2,2.585059477334313
Sabah,2020-01-01,paddy,40446.0,117846.0,2020,27.05,2.913662661326213
Sabah,2021-01-01,paddy,38732.0,112284.0,2021,26.7,2.8989982443457607
Sabah,2022-01-01,paddy,37323.0,107565.0,2022,26.75,2.8820030544168476
Sabah,2017-01-01,spices,461.6,2386.8,2017,26.8,5.170710571923744
Sabah,2018-01-01,spices,398.8,2193.2,2018,26.95,5.499498495486459
Sabah,2019-01-01,spices,387.0,2442.2,2019,27.2,6.310594315245478
Sabah,2020-01-01,spices,463.1,2536.2,2020,27.05,5.476570935003238
Sabah,2021-01-01,spices,430.5,2744.8,2021,26.7,6.375842044134727
Sabah,2022-01-01,spices,452.1,2921.6,2022,26.75,6.46228710462287
Sabah,2017-01-01,vegetables,4350.7,43623.7,2017,26.8,10.02682326981865
Sabah,2018-01-01,vegetables,4348.4,42767.0,2018,26.95,9.835111765246989
Sabah,2019-01-01,vegetables,4541.9,46227.3,2019,27.2,10.177965168761974
Sabah,2020-01-01,vegetables,4363.8,43271.7,2020,27.05,9.916059397772582
Sabah,2021-01-01,vegetables,4160.9,41448.8,2021,26.7,9.961498714220482
Sabah,2022-01-01,vegetables,4353.1,46681.9,2022,26.75,10.723828995428544
Sarawak,2017-01-01,cash_crops,4533.3,27179.8,2017,27.0,5.9955882028544325
Sarawak,2018-01-01,cash_crops,3078.8,14335.9,2018,27.15,4.656327140444328
Sarawak,2019-01-01,cash_crops,1789.0,16805.9,2019,27.4,9.394019005030744
Sarawak,2020-01-01,cash_crops,4108.1,25114.6,2020,27.25,6.113434434410067
Sarawak,2021-01-01,cash_crops,3780.1,24524.4,2021,26.9,6.487764873945134
Sarawak,2022-01-01,cash_crops,3705.3,23436.0,2022,26.95,6.3249939276171965
Sarawak,2017-01-01,coconut,12635.1,30627.8,2017,27.0,2.4240251363265823
Sarawak,2018-01-01,coconut,13258.7,30113.5,2018,27.15,2.2712256857761317
Sarawak,2019-01-01,coconut,12401.1,54023.3,2019,27.4,4.356331293191733
Sarawak,2020-01-01,coconut,12003.3,51490.3,2020,27.25,4.289678671698617
Sarawak,2021-01-01,coconut,11947.8,24139.1,2021,26.9,2.020380321063292
Sarawak,2022-01-01,coconut,12100.3,24522.3,2022,26.95,2.026586117699561
Sarawak,2017-01-01,flower,72.9,1208083.0,2017,27.0,16571.783264746227
Sarawak,2018-01-01,flower,74.2,1229829.0,2018,27.15,16574.514824797843
Sarawak,2019-01-01,flower,75.6,1253195.0,2019,27.4,16576.65343915344
Sarawak,2020-01-01,flower,73.5,954935.0,2020,27.25,12992.312925170068
Sarawak,2021-01-01,flower,76.2,1009080.0,2021,26.9,13242.51968503937
Sarawak,2022-01-01,flower,77.1,1025225.0,2022,26.95,13297.341115434501
